GS_ID,wFC,pFDR,x,y
WAG002048,1.1786,5.255072242975399e-35,919.9795100692174,328.64957322147643
WAG002628,1.3226,7.4589010153708e-30,200.91656207251023,272.42321426266926
WAG002876,1.5974,2.4927530351371e-29,723.9615015428639,691.8916381588813
WAG002783,1.5567,1.6553301891939998e-28,445.602962105588,452.57865692166126
WAG002483,1.5567,1.6571120300866e-28,636.837443229185,583.9151857391372
WAG003212,1.2251,2.0356584465149e-27,180.72027761154817,392.9222521670906
WAG002133,1.2647,4.5391103144466e-26,607.2988153350716,220.6211292784625
WAG002068,1.5841,1.3043045505167e-24,544.5609918067677,545.5118237419417
WAG002134,1.1587,5.7926086936581004e-24,704.5956797536401,265.6734987156773
WAG003247,1.3524,7.989724202239e-24,501.15924247079136,285.8432179410837
